sentiment,review,text_length,synonym_replacement,random_insertion,random_swap,random_deletion
pos,"bhijia mere dadi bohat achi banati the , mgr hum ne bs khaya lekin kabhe banaya nahe , mgr ab zaroorat pari to bana seekha aap se , aap ki recipe or totkay sub kuch bht kar - amad hoti hen",188.0,"bhijia mere dadi bohat achi banati the , mgr thrum ne bs khaya lekin kabhe banaya nahe , mgr ab zaroorat pari to bana seekha aap se , aap ki recipe oregon totkay sub kuch bht kar - amad hoti hen","bhijia mere dadi bohat achi banati the , mgr hum ne bs khaya lekin kabhe banaya wedge nahe , mgr ab zaroorat pari to bana seekha aap se , aap ki recipe or totkay hero sub kuch bht kar - amad hoti hen","bhijia mere dadi bohat achi banati the , mgr hum ne bs amad lekin kabhe banaya nahe , mgr ab zaroorat pari to bana seekha aap se , aap ki recipe or totkay sub kuch kar bht - khaya hoti hen","bhijia mere dadi bohat achi banati the , mgr hum ne bs khaya lekin kabhe banaya nahe , mgr ab zaroorat pari bana seekha , aap ki recipe totkay sub kuch bht kar - amad hoti hen"
neg,kisi kam ka nahe hai,20.0,kisi kam ka nahe hai,kisi kam ka nahe hai,kisi kam ka nahe hai,kisi kam ka nahe hai
pos,accha drama tha aur good happy ending :) ,41.0,accha dramatic event tha aur good happy end : ),accha drama tha play aur good happy glad ending : ),happy drama tha aur : accha ending good ),accha drama tha good happy ending : )
pos,xperia j bhut alla set hai ,27.0,xperia watt second bhut alla place hai,xperia joule j watt second bhut alla set hai,hai bhut j alla set xperia,xperia j alla set hai
pos,"am kal kam kam nazar a rhe hain muje b 😉 , aap ka hony sy ronaq hoti ha",71.0,"am kal kam kam nazar type a rhe hain muje b 😉 , aap ka hony sy ronaq hoti hour angle","am kal kam kam nazar vitamin b a follow rhe hain muje b 😉 , aap ka hony sy ronaq hoti ha","am kal kam kam nazar a ronaq hain muje b 😉 , aap ka rhe sy hony hoti ha","am kal kam nazar a rhe hain muje 😉 , ka sy ronaq hoti ha"
neg,agr ya 4g na howa to bakwas ha ,31.0,agr ya 4g atomic number 11 howa to bakwas hour angle,hour angle agr ya sodium 4g na howa to bakwas ha,ya agr 4g bakwas howa to na ha,agr ya 4g na howa to bakwas ha
pos, . pti k sath hin plz hamen chorh na dina imran bhai hamare umed ap hin . ap hamesha gharebon ka sath dina,106.0,. pti k sath hin plz haman chorh atomic number 11 dina imran bhai hamare umed ap hin . ap hamesha gharebon ka sath dina,. pti k sath hin plz hamen chorh na dina imran bhai hamare haman umed ap hin haman . ap hamesha gharebon ka sath dina,. pti hin sath hin plz hamen ap na dina imran bhai hamare umed chorh k . ap hamesha gharebon ka sath dina,. pti k sath plz hamen na dina imran bhai hamare umed ap hin . ap hamesha gharebon ka sath dina
pos, : mehrbani,11.0,: mehrbani,: mehrbani,: mehrbani,:
neg,maximum use facebook ka waqt ka zea hay,39.0,maximum utilise facebook ka waqt ka genus zea hay,maximum utmost use facebook ka waqt ka genus zea zea hay,maximum ka facebook ka use waqt zea hay,maximum use facebook ka waqt ka zea hay
pos,keep it up,10.0,keep information technology upwardly,keep donjon it upward up,keep it up,keep it up
pos,main to tang nahin hoti balkay enjoy kerti hoon sub ki mazedaar batein ;) maza aata ha . ,89.0,independent to tang nahin hoti balkay relish kerti hoon sub ki mazedaar batein ; ) maza aata ha .,main to tang nahin hoti balkay primary enjoy kerti grinder hoon sub ki mazedaar batein ; ) maza aata ha .,main to tang nahin kerti balkay enjoy ; hoon sub ki mazedaar batein hoti ) maza aata ha .,main to tang nahin balkay enjoy hoon sub ki mazedaar batein ; ) aata .
neg,aik leader ne puray jamat e islami punjab section ki band baja di sir mar rahy hongy punjab ke jamati ke yeh kon agaya hai n league se sary talukaaq kharab karwa raha hai,170.0,aik leader ne puray jamat e islami punjab section ki set baja di sir mar rahy hongy punjab ke jamati ke yeh kon agaya hai n league atomic number 34 sary talukaaq kharab karwa raha hai,aik leader ne puray jamat e islami punjab section ki band baja di sir mar rahy hongy punjab surgical incision ke jamati ke yeh kon agaya hai n league se sary talukaaq newton kharab karwa raha hai,aik karwa ne puray jamat e islami punjab section ke band baja di sir mar rahy hongy punjab ki jamati ke yeh kon agaya hai n league se sary talukaaq kharab leader raha hai,aik leader puray jamat e islami punjab section ki band baja di mar rahy hongy punjab ke jamati ke yeh kon agaya hai n league se sary talukaaq kharab raha hai
neg, .. in k han koi kutta b marry to ilzam pakistan py he lagaty hai in sy kia takra .. ,85.0,.. in k han koi kutta atomic number 5 marry to ilzam pakistan py helium lagaty hai in sy kia takra ..,.. in k han koi kutta b marry to ilzam pakistan py he lagaty hai in sy kia atomic number 2 takra .. west pakistan,.. in k koi han kutta b marry to ilzam pakistan sy he lagaty hai in py kia takra ..,.. in k han koi kutta b marry to pakistan py he lagaty hai in sy takra ..
neg,dear yahee sotwar kesy aur format may dey . es link se nahi howa . ,67.0,dear yahee sotwar kesy aur format crataegus laevigata dey . east link se nahi howa .,dear yahee sotwar kesy aur format crataegus laevigata may crataegus oxycantha dey . es link se nahi howa .,dear yahee sotwar kesy aur link may dey format es . se nahi howa .,dear yahee sotwar kesy aur format may dey . es link se nahi
neg,"oye hum tere jesey kameeny ni hain aur iska saboot ye ha k kisi ne ubi tuk tere bety ko kuch ni kaha aur na hi usko poocha k apni pakistan se loyalty proove kar ... hum tere is dying india se buht better hain , agr wo hoty to ubi tuk tere bety ka bura haal kar dety ... but we know k wo 1 pakistani ha aur pakistan mein reh kar apna kaam kar raha ha ... ",354.0,"oye hum tere jesey kameeny ni hain aur iska saboot ye ha k kisi ne ubi tuk tere bety kayo kuch ni kaha aur na hi usko poocha k apni pakistan se allegiance proove kar ... hum tere is dying india se buht better hain , agr wo hoty to ubi tuk tere bety ka bura haal kar dety ... but we know k wo 1 pakistani ha aur pakistan mein reh kar apna kaam kar raha ha ...","oye hum tere jesey kameeny ni hain aur iska saboot ye ha k kisi ne ubi tuk tere bety ko kuch ni kaha aur na hi usko poocha k apni pakistan se loyalty proove kar ... hum tere is dying india se buht better hain , agr wo hoty to ubi tuk tere bety ka bura haal kar dety ... but we know k one wo ace 1 pakistani ha aur pakistan mein reh kar apna kaam kar raha ha ...","oye hum tere jesey kameeny ni hain aur iska agr ye ha k kisi ne ubi tuk tere bety ko kuch ni kaha aur hi na usko poocha k apni pakistan se loyalty proove kar ... hum tere is dying india se buht better hain , saboot wo hoty to ubi tuk tere bety ka bura haal kar dety ... but we know k wo 1 pakistani ha aur pakistan mein reh kar apna kaam kar raha ha ...","hum tere jesey kameeny ni hain iska ye ha k kisi ne ubi tuk tere bety ko kuch ni aur na hi usko poocha k apni pakistan se loyalty proove kar ... hum tere is india se buht better hain , wo hoty to ubi tuk tere bety bura haal kar ... but we know k wo pakistani aur pakistan reh kar apna kaam kar raha ha ..."
pos,i + a2174 : c2187mran khan agrr wazereazam banana hai too logo k dil me jaga banoo,82.0,iodin + a2174 : c2187mran caravanserai agrr wazereazam banana hai too logo k dil me jaga banoo,i + banana tree a2174 : c2187mran khan agrr wazereazam banana hai too logo k excessively dil me jaga banoo,i + a2174 : c2187mran khan agrr wazereazam banana dil too logo banoo hai me jaga k,i + a2174 : c2187mran khan agrr wazereazam banana hai too logo k dil me jaga banoo
pos,"jazakallah khair ,, bilkul saheeh farmaya bhai aap ne ,, allah paak sub ko samajh den ,, aameen",95.0,"jazakallah khair , , bilkul saheeh farmaya bhai aap ne , , allah paak sub kayo samajh hideout , , aameen","jazakallah khair , , bilkul saheeh farmaya cornhusker state bhai aap ne , , allah paak sub ko samajh den , , aameen","jazakallah bilkul sub , khair saheeh farmaya bhai aap ne , , allah paak , ko samajh den , , aameen","jazakallah khair , , bilkul saheeh farmaya bhai aap ne , , allah paak sub ko samajh , , aameen"
neg,"hamy parai py zor dayna chaheye , chotio py nai . ",50.0,"hamy parai py zor dayna chaheye , chotio py nai .","hamy parai py zor dayna chaheye , chotio py nai .","hamy parai dayna py py chaheye , chotio zor nai .","py zor dayna , chotio py nai ."
neg,thandi jugtain marna chor do khaaa sb ... leadr bno stage actr na bno,69.0,thandi jugtain marna chor act khaaa sb ... leadr bno represent actr na bno,atomic number 51 thandi jugtain marna chor do khaaa sb sodium ... leadr bno stage actr na bno,thandi jugtain marna chor do ... sb khaaa leadr bno stage actr na bno,thandi jugtain marna do khaaa sb ... leadr bno stage actr na bno
pos,originally posted by eyeeyepti shoar jitan marzi kar lo sharifoon k property on k apnay pesay se bani ha logon k zakat xeraat skim nahein k,139.0,originally posted by eyeeyepti shoar jitan marzi kar lo sharifoon special k property along special k apnay pesay se bani ha logon special k zakat xeraat skim nahein special k,originally posted by eyeeyepti shoar jitan marzi kar lo sharifoon k property on k apnay pesay send se bani ha stake logon k zakat xeraat skim nahein k,originally posted by eyeeyepti shoar jitan marzi kar lo sharifoon k property on k apnay pesay se bani ha logon k zakat xeraat skim nahein k,originally posted by eyeeyepti shoar jitan marzi kar lo sharifoon property on k apnay pesay se bani ha logon k zakat xeraat skim nahein k
neg,acha hou is ne hamari jaan chori . itne maasomon ka qatl kar ke gaya hai . is ko to sare aam phansi deni chaiye . ,114.0,acha hou cost cornhusker state hamari jaan chori . itne maasomon ka qatl kar ke gaya hai . cost ko to sare aam phansi deni chaiye .,acha hou is ne hamari jaan chori . itne make up maasomon ka qatl kar ke gaya hai . is ko to sare knockout aam phansi deni chaiye .,acha hou is ne hamari jaan deni . ke maasomon ka qatl kar itne gaya hai . is ko to sare aam phansi chori chaiye .,acha hou is ne hamari jaan chori . maasomon ka qatl kar ke gaya hai . is ko to sare aam phansi deni chaiye .
pos,ho rahi laptop par pdf file sath main hi khulii haaa,52.0,holmium rahi laptop par pdf file sath primary hi khulii haaa,ho rahi holmium laptop par pdf file equation sath main hi khulii haaa,ho laptop main par pdf file sath rahi hi khulii haaa,ho rahi laptop par pdf file sath main hi khulii haaa
pos,"mera ye kheyal hy k payar ka ek year me ek den nhy balki ek sal k 364 dn hy manaye jain . velantine day manana kun log pesand nhy krti , payr to hr koe apni mother , father , sister , brother ., girl friend and boy friend se krta hy bt sb ka apna andaz hota hy so mari nazer me payr krna aur velantine day manana sahie hy",321.0,"mera ye kheyal hy k payar ka ek year me ek den nhy balki ek sal k 364 dn hy manaye jain . velantine day manana kun log pesand nhy krti , payr to hr koe apni mother , father , sister , brother . , girl booster and male child booster se krta hy bt sb ka apna andaz hota hy so mari nazer me payr krna aur velantine day manana sahie hy","mera ye kheyal hy k payar ka ek year me ek den nhy balki ek sal k 364 dn hy manaye jain . velantine day manana kun log pesand nhy krti , payr to hr koe apni mother , father , sister , brother . , girl friend and boy friend se krta hy bt sb ka apna 60 minutes andaz hota hy so mari nazer me payr krna aur velantine day maine manana sahie hy","mera ye kheyal hy . payar ka ek year me ek den nhy balki ek sal k 364 dn hy manaye jain k velantine day manana kun log pesand nhy krti , payr to hr koe apni mother , father , sister , brother . , girl friend and boy friend se krta hy velantine sb ka apna andaz hota hy so mari nazer me payr krna aur bt day manana sahie hy","mera ye hy k payar ka year me ek den nhy balki ek sal k 364 dn manaye jain . velantine day manana kun log nhy krti , payr to hr apni mother , father , sister , brother . , girl friend and boy friend se krta hy ka apna andaz hota hy so mari nazer me payr krna aur velantine day manana sahie hy"
pos,"mere bacchhi may you live a long , happy n healthy life . ameen",63.0,"mere bacchhi may you live a long , well-chosen n healthy sprightliness . ameen","mere bacchhi may you live foresightful a long , happy spirit n healthy life . ameen","mere bacchhi may you . a long n happy , healthy life live ameen","mere bacchhi may you live a long , happy n healthy life . ameen"
pos,khuda na koi cheez fazool nai banai . subhan allah,50.0,khuda atomic number 11 koi cheez fazool nai banai . subhan allah,khuda na sodium koi atomic number 11 cheez fazool nai banai . subhan allah,khuda allah koi cheez fazool na banai . subhan nai,khuda na koi cheez fazool banai . subhan
neg,bohat he bora faisla tha zulqarnain haider ku saza deni chayea take koi be dobra hamari payare pakistan ka naam badnaam na kare,127.0,bohat atomic number 2 bora faisla tha zulqarnain haider ku saza deni chayea take in koi be dobra hamari payare pakistan ka naam badnaam na kare,bohat he bora faisla tha zulqarnain haider ku saza deni chayea take koi be dobra hamari payare make pakistan ka naam badnaam na kare helium,bohat payare bora faisla tha zulqarnain haider hamari saza deni chayea take koi be dobra ku he pakistan ka naam badnaam na kare,bohat he bora tha zulqarnain haider ku deni chayea take koi be dobra hamari payare pakistan ka naam badnaam na kare
neg,assalam u alaikum . yaar yeh jo wikileaks k naam say naya fitna news main in howa hai es ki hakeekat kuch b nahi america jab chahta hai koi darama kar k hamari sochon ko hamaray hi mulk ki taraf mor daita hai . to yaar hamaray hukmuran kasay hain yeh ham wikileaks say bohat behtar jantay hain hamaray sab hukmuran chor or na ehal hain or wikileaks ko achanak manzar e aam per q laya gaya ??? yeh who waja hai jo ham nahi jantay . or hamain politicians nahi insan k bachay government main chahye to mulk behtari ki janib barhay ga . ,533.0,assalam u alaikum . yaar yeh jo wikileaks k naam say naya fitna news main in howa hai es chi hakeekat kuch b nahi america jab chahta hai koi darama kar k hamari sochon ko hamaray hi mulk chi taraf mor daita hai . to yaar hamaray hukmuran kasay hain yeh ham wikileaks say bohat behtar jantay hain hamaray sab hukmuran chor or na ehal hain or wikileaks ko achanak manzar e aam per q laya gaya ? ? ? yeh who waja hai jo ham nahi jantay . or hamain politicians nahi insan k bachay authorities main chahye to mulk behtari chi janib barhay ga .,assalam u alaikum . yaar yeh jo wikileaks k naam say naya fitna news main in howa hai es ki hakeekat kuch b nahi america jab chahta hai koi darama kar k hamari sochon ko hamaray hi mulk ki taraf mor daita hai . to yaar hamaray hukmuran kasay atomic number 49 enounce hain yeh ham wikileaks say bohat behtar jantay hain hamaray sab hukmuran chor or na ehal hain or wikileaks ko achanak manzar e aam per q laya gaya ? ? ? yeh who waja hai jo ham nahi jantay . or hamain politicians nahi insan k bachay government main chahye to mulk behtari ki janib barhay ga .,assalam u alaikum hamain yaar yeh jo wikileaks k naam say naya fitna news main in howa hai es ki hakeekat kuch b nahi america jab chahta hai koi darama kar k hamari sochon ko hamaray hi mulk ki taraf mor daita hai . to yaar hamaray hukmuran kasay hain yeh ham wikileaks say bohat behtar jantay hain hamaray sab hukmuran chor or na ehal hain or wikileaks ko achanak manzar e aam per q laya gaya ? ? ? yeh who waja hai jo ham nahi ki . or . politicians nahi insan k bachay government main chahye to mulk behtari jantay janib barhay ga .,assalam u alaikum . yaar yeh jo wikileaks k naam say naya fitna news main howa hai es ki hakeekat kuch b america jab chahta hai koi darama k hamari sochon hamaray hi mulk ki taraf daita hai . to yaar hamaray hukmuran kasay yeh ham wikileaks say bohat behtar jantay hain hamaray sab hukmuran chor or ehal hain or wikileaks ko achanak e aam per q laya gaya ? ? yeh who waja hai jo ham nahi jantay . or hamain politicians nahi insan k government main chahye to mulk behtari ki janib barhay ga .
neg,"shahbaz sharif aaj kar gharida farooqi k saath bohat show ker raha ha, khair ho.",80.0,"shahbaz sharif aaj kar gharida farooqi k saath bohat show ker raha hour angle , khair holmium .","jet shahbaz sharif aaj kar gharida farooqi k saath bohat show ker raha ha , khair ho hour angle .","shahbaz sharif khair kar gharida farooqi k saath . show ker raha ha , aaj ho bohat","shahbaz sharif kar gharida farooqi k saath bohat show ker raha ha , ho ."
pos,bhai jan ap ki as post sy mjy bht zda hcking me madad mile ha :) ,65.0,bhai jan ap ki eastern samoa charles william post sy mjy bht zda hcking me madad mile ha : ),bhai jan ap ki equally as post sy mjy bht zda hcking me madad mile ha : ) january,bhai jan ap mjy as madad sy ki bht zda hcking me post mile ha : ),jan ap ki as sy bht hcking me madad mile ha : )
pos,bohat achay veri nice,21.0,bohat achay veri dainty,bohat achay dainty nice veri nice,nice bohat veri achay,bohat achay nice
pos,ma darkhawast kerta hon ka traines band hone se awam ko bohot mushkilat ka samna karna pare ga . traines bahal karo ta ka awam ko aasani ho aur sasti sawari mayasar ho,167.0,momma darkhawast kerta hon ka traines band perfect se awam ko bohot mushkilat ka samna karna pare ga . traines bahal karo ta ka awam ko aasani ho aur sasti sawari mayasar ho,atomic number 67 ma darkhawast kerta mom hon ka traines band hone se awam ko bohot mushkilat ka samna karna pare ga . traines bahal karo ta ka awam ko aasani ho aur sasti sawari mayasar ho,ma darkhawast kerta hon ka traines band hone se bohot ko samna mushkilat ka awam karna pare ga . traines bahal karo ta ka awam ko aasani ho aur sasti sawari mayasar ho,ma darkhawast kerta hon ka traines band hone se ko bohot mushkilat ka karna pare . traines bahal karo ta ka awam ko aasani ho aur sasti sawari mayasar ho
neg,jo cpec pr shor dal rahay hain pak k dushman hain,49.0,jo cpec atomic number 59 shor dal rahay hain pak honey oil dushman hain,jo cpec dekaliter pr shor dekalitre dal rahay hain pak k dushman hain,jo dal pr shor hain rahay hain pak k dushman cpec,cpec pr shor dal rahay hain k dushman hain
neg,iqbal ham sharminda hein . aap ki chuti ke qatil zinda hein . ,62.0,iqbal jambon sharminda hein . aap qi chuti ke qatil zinda hein .,iqbal ham sharminda hein . gammon aap ki chuti ke ch'i qatil zinda hein .,iqbal ham sharminda hein qatil aap ki . ke chuti zinda hein .,iqbal ham sharminda hein . aap ki chuti qatil zinda hein .
pos,qmobile to bakwas ha rivo is best . ,36.0,qmobile to bakwas hour angle rivo is good .,qmobile to bakwas ha rivo is cost best be .,best to bakwas ha . is qmobile rivo,qmobile to bakwas ha rivo best .
pos,jb tk hum apny aaqaa s . a . w . w ko apna hakim nh mane gye tb tk hum en parshneun sy nh nikal sakty . allah sy eltija ha k wo humin apny habib s . a . w . w k sath sachi or pak muhabbat ataa farmaay aameen,207.0,jb tk hum apny aaqaa s . a . tungsten . tungsten ko apna hakim nh mane gye tb tk hum en parshneun sy nh nikal sakty . allah sy eltija ha super c wo humin apny habib s . a . tungsten . tungsten super c sath sachi or pak muhabbat ataa farmaay aameen,jb tk hum apny aaqaa s . a . honey oil w . w ko apna hakim nh mane gye tb tk hum en parshneun sy nh nikal sakty . allah sy eltija ha k wo humin apny habib s . a . hakeem w . w k sath sachi or pak muhabbat ataa farmaay aameen,jb tk hum apny sath s . a . aameen . w ko apna hakim nh mane gye tb tk hum en parshneun sy nh nikal sakty . allah sy eltija ha k wo humin apny habib s . a . w . w k aaqaa sachi or pak muhabbat ataa farmaay w,jb tk hum apny aaqaa s . a . w ko apna hakim nh mane gye tb tk en parshneun sy nh nikal sakty . allah sy eltija ha wo humin apny habib s . a . w . w k sath sachi or pak ataa farmaay
pos,bht zbrdst drama tha,20.0,bht zbrdst dramatic play tha,bht zbrdst play drama tha period of play,tha drama zbrdst bht,bht zbrdst drama tha
pos,mjy yqeen ni aa rha k qmobile ny itna acha mobil bnaya h .. ye best h .... main samsung s5 user tha . ,102.0,mjy yqeen nickel alcoholics anonymous rha k qmobile ny itna acha mobil bnaya h .. ye best h .... main samsung s5 user tha .,mjy yqeen ni aa rha k qmobile ny itna acha mobil bnaya h .. ye best primary h .... adept main samsung s5 user tha .,mjy yqeen ni aa rha k qmobile ny s5 acha mobil bnaya .. h ye best h .... main samsung itna user tha .,mjy yqeen ni aa k qmobile ny itna acha bnaya h .. best h .... samsung s5 user .
pos,oh lala jeetey isb ya quetta jeet hogi pakistan ki hi ;) # psl sari teams hi apni hen ;) ,89.0,oh lala jeetey isb ya quetta jeet hogi pakistan chi hello ; ) # psl sari teams hello apni hen ; ),oh lala jeetey isb ya quetta jeet hogi pakistan ki hi ; squad ) # psl hello sari teams hi apni hen ; ),ki lala jeetey isb ya quetta jeet ; pakistan oh hi ; ) # psl sari teams hi apni hen hogi ),oh lala jeetey isb ya quetta jeet hogi pakistan ki hi ; ) # psl sari teams hi apni hen ;
pos,q ap ne mjse sekhna he kya electn jetne k lye,45.0,q ap nor'-east mjse sekhna he kya electn jetne kb lye,q ap ne mjse sekhna he kya kibibyte electn jetne k lye atomic number 2,q mjse k ap sekhna he kya electn jetne ne lye,q ap ne mjse sekhna kya electn jetne k lye
neg,but hamari qismat pata nahi kab jage gi ?? ,43.0,simply hamari qismat pata nahi kab jage gb ? ?,merely but just hamari qismat pata nahi kab jage gi ? ?,but hamari qismat gi nahi kab jage ? pata ?,but hamari qismat nahi kab jage gi ?
pos,maine kosish ki ha un dostoo k liye jo adobe ma frame nahi bana saktey woh aik iss tareeqe se try kar saktey hain ainda phir hazir hoonga tab tak k liye ijazat allah hafiz,171.0,maine kosish ki ha un dostoo thou liye jo adobe ma systema skeletale nahi bana saktey woh aik iss tareeqe se try kar saktey hain ainda phir hazir hoonga tab tak thou liye ijazat allah hafiz,jet maine kosish ki ha un dostoo k liye jo adobe ma frame nahi bana saktey woh aik iss tareeqe se try kar saktey hain ainda phir hazir hoonga tab adobe brick tak k liye ijazat allah hafiz,try kosish ki ha un dostoo k liye jo adobe ma frame nahi bana saktey woh hazir iss tareeqe se maine kar saktey hain ainda phir aik hoonga tab tak k liye ijazat allah hafiz,maine kosish ki ha un dostoo k liye ma frame nahi bana saktey woh aik iss tareeqe se kar saktey hain ainda phir hazir hoonga tab tak k liye ijazat allah hafiz
neg,"pti ne waqee khof ka but tour dia ,, 2013 main jitney votes pti ko miley thaye 23 ko us se aadhey bhi nahi miley ,, hahahaha",124.0,"pti nor'-east waqee khof ka but tour dia , , 2013 main jitney votes pti ko miley thaye 23 ko atomic number 92 se aadhey bhi nahi miley , , hahahaha","pti ne waqee khof ka but tour dia , , 2013 main jitney votes pti ko miley thaye 23 ko us double-decker se aadhey bhi nahi miley southeast , , hahahaha","pti ne waqee khof thaye but tour dia , , 2013 main jitney votes pti ko 23 ka miley ko us se aadhey bhi nahi miley , , hahahaha","pti ne waqee khof ka tour , , 2013 main jitney votes pti ko miley thaye 23 ko us se aadhey bhi nahi miley , , hahahaha"
pos,he is javed sheikh ' son and his name is shehzad sheikh . to me shehzad sheikh is very handsome and good looking . he is doing fine and will improve his acting skills after acting in more dramas . ,197.0,he is javed sheikh ' son and his name is shehzad sheikh . to me shehzad sheikh is very handsome and good take care . he is perform fine and will improve his acting skills after acting in more dramas .,he is javed sheikh ' son and his name is shehzad sheikh . sir thomas more to me shehzad sheikh is very handsome and good looking . he is doing fine exist and will improve his acting skills after acting in more dramas .,he is javed sheikh ' son and his name is shehzad sheikh . to me shehzad sheikh is very handsome and in looking . after is doing fine and will improve his acting skills he acting good more dramas .,is javed sheikh ' son and his name is shehzad sheikh . me sheikh is handsome and good looking he fine and will improve his acting skills after in more dramas
pos,aj to team n dil khush kr dya,29.0,aj to team up n dil khush khmer rouge dya,aj to team n dil team up team up khush kr dya,aj team n to dil khush kr dya,aj to team n dil khush kr dya
neg,is se kia hoga kutttey ki dum 100 saal baad bhi teerhi hi rahey gi pahley bhi kitney hi indian prime minister ne pakistan ka visit kia mager kuch nahi hua,154.0,is se kia hoga kutttey ki dum 100 saal baad bhi teerhi hullo rahey gi pahley bhi kitney hullo indian prime minister of religion ne pakistan ka visit kia mager kuch nahi hua,is se kia hoga kutttey ki dum 100 saal baad bhi teerhi hi hawaii rahey gi pahley bhi kitney hi indian prime minister ne pakistan hundred ka visit kia mager kuch nahi hua,is se kia hoga kutttey ki dum visit prime baad bhi teerhi hi rahey gi pahley bhi kitney hi indian saal minister ne pakistan ka 100 kia mager kuch nahi hua,is se kia hoga kutttey ki dum 100 saal baad bhi teerhi hi rahey gi pahley bhi kitney hi indian prime minister ne pakistan ka visit kia mager kuch nahi hua
neg,"yaar me ko duaae mughfrrt nhi aati , so behtr hay jb tk main usse yaad kron tum aatay rehna forum pe ......... jb yaad ho jaye tb beshak wafaat pa jana ................ ",169.0,"yaar me ko duaae mughfrrt nhi aati , so behtr hay jb tk independent usse yaad kron tum aatay rehna forum pe ......... jb yaad atomic number 67 jaye tb beshak wafaat pa jana ................","yaar me ko duaae mughfrrt nhi aati , so meeting place behtr hay jb atomic number 65 tk main usse yaad kron tum aatay rehna forum pe ......... jb yaad ho jaye tb beshak wafaat pa jana ................","yaar me ko duaae mughfrrt jb aati , so behtr hay jb tk main usse yaad rehna tum aatay kron forum pe ......... nhi yaad ho jaye tb beshak wafaat pa jana ................",yaar me ko duaae mughfrrt aati so behtr hay jb tk main usse yaad kron tum aatay rehna forum pe ......... jb yaad ho jaye tb beshak wafaat jana ................
neg,ohhhhhhhhhhh mera event sune ke lye kaha ta tyar ho ..... bohat ghamgeen ha . ,78.0,ohhhhhhhhhhh mera result sune ke lye kaha ta tyar ho ..... bohat ghamgeen hour angle .,ohhhhhhhhhhh mera event sune ke lye kaha ta tyar ho ..... effect bohat ghamgeen ha atomic number 73 .,kaha mera ta sune ke lye ohhhhhhhhhhh event tyar ho ..... bohat ghamgeen ha .,ohhhhhhhhhhh mera sune ke kaha ta tyar ho ..... bohat ghamgeen ha .
neg,paise zaya ,11.0,paisa zaya,paise paisa zaya paisa,paise zaya,paise zaya
neg,,,,,,
neg,ousousous,,,,,
neg,ousousous,,,,,
neg,ousousousouslyous,,,,,
neg,ousousousouslyousous,,,,,
neg,ousousous,,,,,
neg,,,,,,
neg,ousousous,,,,,
neg,ousousouslyOUSousousousouseousous,,,,,
neg,ousousousouslyousous,,,,,
neg,ousousouslyOUSousousous,,,,,
neg,ousousousouslyousous,,,,,
neg,ousousousouslyousous,,,,,
neg,ousousousouslyous,,,,,
neg,,,,,,
neg,ousousousouslyousous,,,,,
neg,ousousousouslyousous,,,,,
neg,ousousous,,,,,
neg,ousousous,,,,,
neg,from maryar,,,,,
neg,ousousousouslyousous,,,,,
neg,ousousous,,,,,
neg,ousousousouslyous,,,,,
neg,ousousous,,,,,
neg,,,,,,
neg,ousousous,,,,,
neg,ousousousouslyousous,,,,,
neg,ousousousouslyousous,,,,,
neg,,,,,,
neg,ousousousouslyousous,,,,,
neg,ousousousouslyousous,,,,,
neg,ousousousouslyousous,,,,,
neg,,,,,,
neg,ousousousouslyousous,,,,,
neg,fromousousous,,,,,
neg,ousousous,,,,,
neg,ousousous,,,,,
neg,,,,,,
neg,ousousous,,,,,
neg,ousousouslyousousous,,,,,
neg,,,,,,
neg,ousousous,,,,,
neg,ousousous,,,,,
neg,ousousous,,,,,
neg,,,,,,
neg,ousousousouslyousous,,,,,
neg,ousousous,,,,,
neg,ousousousouslyousous,,,,,
neg,ousousous,,,,,
neg,ousousous,,,,,
neg,ousousous,,,,,
neg,ousousous,,,,,
neg,ousousousouslyous,,,,,
neg,ousousousouslyousous,,,,,
neg,ousousousouslyousous,,,,,
neg,,,,,,
neg,ousousous,,,,,
neg,ousousousouslyousous,,,,,
neg,,,,,,
neg,ousousous,,,,,
neg,ousousous,,,,,
neg,,,,,,
neg,ous agousousousouslyousous,,,,,
neg,,,,,,
neg,,,,,,
neg,ousousous,,,,,
neg,ousousousouslyousous,,,,,
neg,ousousous,,,,,
neg,ousousousouslyousous,,,,,
neg,,,,,,
neg,ous,,,,,
neg,ousousous,,,,,
neg,,,,,,
neg,ousousousouslyousous,,,,,
neg,ousousousouslyousous,,,,,
neg,ousousous,,,,,
neg,ousousous,,,,,
neg,ousousousouslyousous,,,,,
neg,,,,,,
neg,,,,,,
neg,ousousous,,,,,
neg,ousousousouslyousous,,,,,
neg,ous,,,,,
neg,from theousousous,,,,,
neg,,,,,,
neg,ousousousouslyousous,,,,,
neg,ousousousouslyousous,,,,,
neg,ousousousouslyousous,,,,,
neg,ousousousouslyousous,,,,,
neg,ousousousouslyousous,,,,,
neg,ousousous,,,,,
neg,ousousous,,,,,
neg,,,,,,
neg,ousousousOUSousousouslyous,,,,,
neg,,,,,,
neg,ousousousOUSousous,,,,,
neg,ousousous,,,,,
neg,ousousous,,,,,
neg,,,,,,
neg,ousousousouseous,,,,,
pos,ousousousouslyousous,,,,,
pos,ousousousouslyousous,,,,,
pos,ousousousouslyousousiousousous,,,,,
pos,ousousous,,,,,
pos,ousousousouslyousous,,,,,
pos,ousousous,,,,,
pos,ousousousouslyousous,,,,,
pos,ous,,,,,
